t,imu_accel_true_x,imu_accel_meas_x,imu_gyro_true_x,imu_gyro_meas_x,seeker_los_true,seeker_los_meas
1.875,-55.843277,-55.843277,0,0,0.338327913,0.338327913
1.88,-55.8258978,-55.8258978,0,0,0.338276056,0.338276056
1.885,-55.8084323,-55.8084323,0,0,0.338224343,0.338224343
1.89,-55.7908808,-55.7908808,0,0,0.338172775,0.338172775
1.895,-55.773244,-55.773244,0,0,0.33812135,0.33812135
1.9,-55.7555223,-55.7555223,0,0,0.33807007,0.33807007
1.905,-55.7377163,-55.7377163,0,0,0.338018934,0.338018934
1.91,-55.7198265,-55.7198265,0,0,0.337967941,0.337967941
1.915,-55.7018535,-55.7018535,0,0,0.337917092,0.337917092
1.92,-55.6837978,-55.6837978,0,0,0.337866385,0.337866385
1.925,-55.6656598,-55.6656598,0,0,0.337815821,0.337815821
1.93,-55.6474402,-55.6474402,0,0,0.3377654,0.3377654
1.935,-55.6291394,-55.6291394,0,0,0.337715121,0.337715121
1.94,-55.6107579,-55.6107579,0,0,0.337664985,0.337664985
1.945,-55.5922962,-55.5922962,0,0,0.33761499,0.33761499
1.95,-55.573755,-55.573755,0,0,0.337565136,0.337565136
1.955,-55.5551345,-55.5551345,0,0,0.337515424,0.337515424
1.96,-55.5364355,-55.5364355,0,0,0.337465853,0.337465853
1.965,-55.5176583,-55.5176583,0,0,0.337416423,0.337416423
1.97,-55.4988034,-55.4988034,0,0,0.337367134,0.337367134
1.975,-55.4798714,-55.4798714,0,0,0.337317985,0.337317985
1.98,-55.4608628,-55.4608628,0,0,0.337268976,0.337268976
1.985,-55.441778,-55.441778,0,0,0.337220107,0.337220107
1.99,-55.4226175,-55.4226175,0,0,0.337171378,0.337171378
1.995,-55.4033818,-55.4033818,0,0,0.337122788,0.337122788
2,-55.3840715,-55.3840715,0,0,0.337074337,0.337074337
2.005,-55.3646869,-55.3646869,0,0,0.337026026,0.337026026
2.01,-55.3452285,-55.3452285,0,0,0.336977853,0.336977853
