t,x,y,z,vx,vy,vz,roll,pitch,yaw,mass,mach,thrust
1.45,903.14462,0,692.938136,578.71469,0,380.070597,0,0,0,22,2.05068649,0
1.455,906.037471,0,694.837172,578.425725,0,379.543651,0,0,0,22,2.04915907,0
1.46,908.928878,0,696.733576,578.136933,0,379.017923,0,0,0,22,2.04763428,0
1.465,911.818841,0,698.627354,577.848316,0,378.49341,0,0,0,22,2.04611211,0
1.47,914.707362,0,700.518513,577.559872,0,377.970109,0,0,0,22,2.04459254,0
1.475,917.59444,0,702.407058,577.271603,0,377.448016,0,0,0,22,2.04307558,0
1.48,920.480078,0,704.292996,576.983508,0,376.927129,0,0,0,22,2.0415612,0
1.485,923.364276,0,706.176333,576.695587,0,376.407443,0,0,0,22,2.04004942,0
1.49,926.247034,0,708.057074,576.40784,0,375.888956,0,0,0,22,2.03854021,0
1.495,929.128355,0,709.935225,576.120268,0,375.371664,0,0,0,22,2.03703357,0
1.5,932.008238,0,711.810793,575.83287,0,374.855564,0,0,0,22,2.0355295,0
1.505,934.886684,0,713.683784,575.545647,0,374.340653,0,0,0,22,2.03402799,0
1.51,937.763694,0,715.554203,575.258598,0,373.826927,0,0,0,22,2.03252903,0
1.515,940.63927,0,717.422056,574.971724,0,373.314384,0,0,0,22,2.03103261,0
1.52,943.513412,0,719.28735,574.685025,0,372.80302,0,0,0,22,2.02953873,0
1.525,946.386121,0,721.150089,574.3985,0,372.292833,0,0,0,22,2.02804737,0
1.53,949.257398,0,723.010281,574.11215,0,371.783818,0,0,0,22,2.02655854,0
1.535,952.127243,0,724.86793,573.825975,0,371.275972,0,0,0,22,2.02507223,0
1.54,954.995658,0,726.723044,573.539975,0,370.769293,0,0,0,22,2.02358842,0
1.545,957.862643,0,728.575626,573.25415,0,370.263778,0,0,0,22,2.02210712,0
1.55,960.7282,0,730.425684,572.968499,0,369.759422,0,0,0,22,2.02062831,0
