t,track_x,track_y,track_z,tgt_x,tgt_y,tgt_z,track_nis
1.91,0,0,0,8465.2,0,3423.6,0
1.915,0,0,0,8463.8,0,3423.4,0
1.92,0,0,0,8462.4,0,3423.2,0
1.925,0,0,0,8461,0,3423,0
1.93,0,0,0,8459.6,0,3422.8,0
1.935,0,0,0,8458.2,0,3422.6,0
1.94,0,0,0,8456.8,0,3422.4,0
1.945,0,0,0,8455.4,0,3422.2,0
1.95,0,0,0,8454,0,3422,0
1.955,0,0,0,8452.6,0,3421.8,0
1.96,0,0,0,8451.2,0,3421.6,0
1.965,0,0,0,8449.8,0,3421.4,0
1.97,0,0,0,8448.4,0,3421.2,0
1.975,0,0,0,8447,0,3421,0
1.98,0,0,0,8445.6,0,3420.8,0
1.985,0,0,0,8444.2,0,3420.6,0
1.99,0,0,0,8442.8,0,3420.4,0
1.995,0,0,0,8441.4,0,3420.2,0
2,0,0,0,8440,0,3420,0
2.005,0,0,0,8438.6,0,3419.8,0
2.01,0,0,0,8437.2,0,3419.6,0
2.015,0,0,0,8435.8,0,3419.4,0
2.02,0,0,0,8434.4,0,3419.2,0
2.025,0,0,0,8433,0,3419,0
2.03,0,0,0,8431.6,0,3418.8,0
2.035,0,0,0,8430.2,0,3418.6,0
2.04,0,0,0,8428.8,0,3418.4,0
2.045,0,0,0,8427.4,0,3418.2,0
2.05,0,0,0,8426,0,3418,0
2.055,0,0,0,8424.6,0,3417.8,0
2.06,0,0,0,8423.2,0,3417.6,0
2.065,0,0,0,8421.8,0,3417.4,0
2.07,0,0,0,8420.4,0,3417.2,0
2.075,0,0,0,8419,0,3417,0
2.08,0,0,0,8417.6,0,3416.8,0
2.085,0,0,0,8416.2,0,3416.6,0
2.09,0,0,0,8414.8,0,3416.4,0
2.095,0,0,0,8413.4,0,3416.2,0
2.1,0,0,0,8412,0,3416,0
2.105,0,0,0,8410.6,0,3415.8,0
2.11,0,0,0,8409.2,0,3415.6,0
2.115,0,0,0,8407.8,0,3415.4,0
2.12,0,0,0,8406.4,0,3415.2,0
2.125,0,0,0,8405,0,3415,0
2.13,0,0,0,8403.6,0,3414.8,0
2.135,0,0,0,8402.2,0,3414.6,0
2.14,0,0,0,8400.8,0,3414.4,0
2.145,0,0,0,8399.4,0,3414.2,0
2.15,0,0,0,8398,0,3414,0
2.155,0,0,0,8396.6,0,3413.8,0
2.16,0,0,0,8395.2,0,3413.6,0
