t,x,y,z,vx,vy,vz
2.58,8277.6,0,3396.8,-280,0,-40
2.585,8276.2,0,3396.6,-280,0,-40
2.59,8274.8,0,3396.4,-280,0,-40
2.595,8273.4,0,3396.2,-280,0,-40
2.6,8272,0,3396,-280,0,-40
2.605,8270.6,0,3395.8,-280,0,-40
2.61,8269.2,0,3395.6,-280,0,-40
2.615,8267.8,0,3395.4,-280,0,-40
2.62,8266.4,0,3395.2,-280,0,-40
2.625,8265,0,3395,-280,0,-40
2.63,8263.6,0,3394.8,-280,0,-40
2.635,8262.2,0,3394.6,-280,0,-40
2.64,8260.8,0,3394.4,-280,0,-40
2.645,8259.4,0,3394.2,-280,0,-40
2.65,8258,0,3394,-280,0,-40
2.655,8256.6,0,3393.8,-280,0,-40
2.66,8255.2,0,3393.6,-280,0,-40
2.665,8253.8,0,3393.4,-280,0,-40
2.67,8252.4,0,3393.2,-280,0,-40
2.675,8251,0,3393,-280,0,-40
2.68,8249.6,0,3392.8,-280,0,-40
2.685,8248.2,0,3392.6,-280,0,-40
2.69,8246.8,0,3392.4,-280,0,-40
2.695,8245.4,0,3392.2,-280,0,-40
2.7,8244,0,3392,-280,0,-40
2.705,8242.6,0,3391.8,-280,0,-40
2.71,8241.2,0,3391.6,-280,0,-40
2.715,8239.8,0,3391.4,-280,0,-40
2.72,8238.4,0,3391.2,-280,0,-40
2.725,8237,0,3391,-280,0,-40
2.73,8235.6,0,3390.8,-280,0,-40
2.735,8234.2,0,3390.6,-280,0,-40
2.74,8232.8,0,3390.4,-280,0,-40
2.745,8231.4,0,3390.2,-280,0,-40
2.75,8230,0,3390,-280,0,-40
2.755,8228.6,0,3389.8,-280,0,-40
2.76,8227.2,0,3389.6,-280,0,-40
2.765,8225.8,0,3389.4,-280,0,-40
2.77,8224.4,0,3389.2,-280,0,-40
2.775,8223,0,3389,-280,0,-40
2.78,8221.6,0,3388.8,-280,0,-40
2.785,8220.2,0,3388.6,-280,0,-40
2.79,8218.8,0,3388.4,-280,0,-40
2.795,8217.4,0,3388.2,-280,0,-40
2.8,8216,0,3388,-280,0,-40
2.805,8214.6,0,3387.8,-280,0,-40
2.81,8213.2,0,3387.6,-280,0,-40
2.815,8211.8,0,3387.4,-280,0,-40
2.82,8210.4,0,3387.2,-280,0,-40
2.825,8209,0,3387,-280,0,-40
2.83,8207.6,0,3386.8,-280,0,-40
2.835,8206.2,0,3386.6,-280,0,-40
2.84,8204.8,0,3386.4,-280,0,-40
2.845,8203.4,0,3386.2,-280,0,-40
2.85,8202,0,3386,-280,0,-40
2.855,8200.6,0,3385.8,-280,0,-40
2.86,8199.2,0,3385.6,-280,0,-40
2.865,8197.8,0,3385.4,-280,0,-40
2.87,8196.4,0,3385.2,-280,0,-40
2.875,8195,0,3385,-280,0,-40
2.88,8193.6,0,3384.8,-280,0,-40
2.885,8192.2,0,3384.6,-280,0,-40
2.89,8190.8,0,3384.4,-280,0,-40
2.895,8189.4,0,3384.2,-280,0,-40
2.9,8188,0,3384,-280,0,-40
2.905,8186.6,0,3383.8,-280,0,-40
2.91,8185.2,0,3383.6,-280,0,-40
2.915,8183.8,0,3383.4,-280,0,-40
2.92,8182.4,0,3383.2,-280,0,-40
2.925,8181,0,3383,-280,0,-40
2.93,8179.6,0,3382.8,-280,0,-40
